trade_date,indicator_code,value
2010-08-03,000300.SH,2865.971
2010-08-03,000985.CSI,3233.472
2010-08-03,SHIBOR_3M,2.4447
2010-08-03,US10Y,2.94
2010-08-04,000300.SH,2876.434
2010-08-04,000985.CSI,3255.485
2010-08-04,SHIBOR_3M,2.443
2010-08-04,US10Y,2.98
2010-08-05,000300.SH,2850.829
2010-08-05,000985.CSI,3244.377
2010-08-05,SHIBOR_3M,2.4473
2010-08-05,US10Y,2.94
2010-08-06,000300.SH,2897.659
2010-08-06,000985.CSI,3301.802
2010-08-06,SHIBOR_3M,2.4528
2010-08-06,US10Y,2.86
2010-08-09,000300.SH,2918.241
2010-08-09,000985.CSI,3333.61
2010-08-09,SHIBOR_3M,2.4557
2010-08-09,US10Y,2.86
2010-08-10,000300.SH,2832.638
2010-08-10,000985.CSI,3226.128
2010-08-10,SHIBOR_3M,2.4625
2010-08-10,US10Y,2.79
2010-08-11,000300.SH,2850.211
2010-08-11,000985.CSI,3253.145
2010-08-11,SHIBOR_3M,2.4674
2010-08-11,US10Y,2.72
2010-08-12,000300.SH,2816.386
2010-08-12,000985.CSI,3214.205
2010-08-12,SHIBOR_3M,2.4646
2010-08-12,US10Y,2.74
2010-08-13,000300.SH,2855.547
2010-08-13,000985.CSI,3265.493
2010-08-13,SHIBOR_3M,2.4651
2010-08-13,US10Y,2.68
2010-08-16,000300.SH,2922.083
2010-08-16,000985.CSI,3340.924
2010-08-16,SHIBOR_3M,2.4663
2010-08-16,US10Y,2.58
2010-08-17,000300.SH,2942.291
2010-08-17,000985.CSI,3366.391
2010-08-17,SHIBOR_3M,2.4687
2010-08-17,US10Y,2.64
2010-08-18,000300.SH,2937.362
2010-08-18,000985.CSI,3362.677
2010-08-18,SHIBOR_3M,2.4671
2010-08-18,US10Y,2.64
2010-08-19,000300.SH,2955.395
2010-08-19,000985.CSI,3376.847
2010-08-19,SHIBOR_3M,2.4673
2010-08-19,US10Y,2.58
2010-08-20,000300.SH,2898.333
2010-08-20,000985.CSI,3308.992
2010-08-20,SHIBOR_3M,2.4672
2010-08-20,US10Y,2.62
2010-08-23,000300.SH,2896.192
2010-08-23,000985.CSI,3318.44
2010-08-23,SHIBOR_3M,2.4654
2010-08-23,US10Y,2.6
2010-08-24,000300.SH,2911.827
2010-08-24,000985.CSI,3345.492
2010-08-24,SHIBOR_3M,2.4686
2010-08-24,US10Y,2.5
2010-08-25,000300.SH,2843.023
2010-08-25,000985.CSI,3271.813
