trade_date,value
2019-03-21,2.75
2019-03-22,2.5
2019-03-25,2.6
2019-03-26,2.5
2019-03-27,2.9
2019-03-28,2.73
2019-03-29,2.7
2019-04-01,2.4
2019-04-02,2.1
2019-04-03,2.1
2019-04-04,2.27
2019-04-08,2.2
2019-04-09,2.38
2019-04-10,2.5
2019-04-11,2.6
2019-04-12,2.7
2019-04-15,2.8
2019-04-16,2.8
2019-04-17,2.79
2019-04-18,2.9
2019-04-19,2.5
2019-04-22,3.1
2019-04-23,3.2
2019-04-24,2.9
2019-04-25,2.89
2019-04-26,2.7
2019-04-28,2.7
2019-04-29,2.69
2019-04-30,2.0
2019-05-05,1.8
2019-05-06,2.4
2019-05-07,2.2
2019-05-08,2.1
2019-05-09,2.49
2019-05-10,2.73
2019-05-13,2.45
2019-05-14,2.52
2019-05-15,2.4
2019-05-16,2.56
2019-05-17,2.9
2019-05-20,2.8
2019-05-21,2.75
2019-05-22,2.5
2019-05-23,2.6
2019-05-24,2.55
2019-05-27,2.85
2019-05-28,2.9
2019-05-29,2.82
2019-05-30,2.3
2019-05-31,2.25
2019-06-03,2.46
2019-06-04,1.82
2019-06-05,2.3
2019-06-06,2.58
2019-06-10,2.48
2019-06-11,2.3
2019-06-12,1.8
2019-06-13,2.35
2019-06-14,2.35
2019-06-17,2.3
2019-06-18,1.9
2019-06-19,2.6
2019-06-20,1.9
2019-06-21,1.8
2019-06-24,2.27
2019-06-25,2.3
2019-06-26,2.39
2019-06-27,2.4
2019-06-28,2.5
2019-07-01,2.0
2019-07-02,1.7
2019-07-03,1.8
2019-07-04,1.8
2019-07-05,2.17
2019-07-08,2.41
2019-07-09,2.5
2019-07-10,2.47
2019-07-11,2.1
2019-07-12,2.5
2019-07-15,2.75
2019-07-16,2.72
2019-07-17,2.72
2019-07-18,2.85
2019-07-19,2.5
2019-07-22,2.7
2019-07-23,2.6
2019-07-24,2.55
2019-07-25,2.65
2019-07-26,2.63
2019-07-29,2.66
2019-07-30,2.7
2019-07-31,2.75
2019-08-01,2.6
2019-08-02,2.65
2019-08-05,2.44
2019-08-06,2.3
2019-08-07,2.43
2019-08-08,2.55
2019-08-09,2.64
2019-08-12,2.7
2019-08-13,2.72
2019-08-14,2.6
2019-08-15,2.72
2019-08-16,2.67
2019-08-19,2.68
2019-08-20,2.66
2019-08-21,2.65
2019-08-22,2.5
2019-08-23,2.5
2019-08-26,2.7
2019-08-27,2.7
2019-08-28,2.72
2019-08-29,2.68
2019-08-30,2.67
2019-09-02,2.45
2019-09-03,2.58
2019-09-04,2.6
2019-09-05,2.65
2019-09-06,2.67
2019-09-09,2.65
2019-09-10,2.6
2019-09-11,2.65
2019-09-12,2.65
2019-09-16,2.57
2019-09-17,2.57
2019-09-18,2.66
2019-09-19,2.75
2019-09-20,2.8
2019-09-23,2.7
2019-09-24,2.3
2019-09-25,2.41
2019-09-26,2.5
2019-09-27,1.3
2019-09-29,2.75
2019-09-30,3.03
2019-10-08,2.5
2019-10-09,2.56
2019-10-10,2.5
