ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
NHCI.NH,20200227,1411.1331,1426.3102,1426.3102,1410.8468,1427.6335,-16.5005,-0.0116,10214059,13707447
NHCI.NH,20200226,1427.6335,1447.52,1447.52,1427.3057,1450.8691,-23.2356,-0.016,10789491,13631925
NHCI.NH,20200225,1450.8691,1451.5623,1451.6102,1436.7178,1451.5623,-0.6931,-0.0005,10179190,13524634
NHCI.NH,20200224,1451.5623,1461.4196,1461.4196,1445.5398,1462.6934,-11.1311,-0.0076,11079888,13695555
NHCI.NH,20200221,1462.6934,1462.1478,1467.42,1459.8234,1462.5673,0.1261,0.0001,10233515,13642369
NHCI.NH,20200220,1462.5673,1444.3864,1464.0389,1444.3864,1443.7417,18.8256,0.013,11980528,13561674
NHCI.NH,20200219,1443.7417,1436.6758,1446.0563,1436.6758,1437.5708,6.1709,0.0043,8614745,13554873
NHCI.NH,20200218,1437.5708,1445.6151,1446.8254,1435.5461,1445.747,-8.1762,-0.0057,9592583,13547788
NHCI.NH,20200217,1445.747,1432.3168,1446.423,1431.0957,1433.1934,12.5536,0.0088,9013935,13385356
NHCI.NH,20200214,1433.1934,1432.1201,1434.625,1426.8785,1432.5223,0.671,0.0005,8951120,13127169
NHCI.NH,20200213,1432.5223,1430.6132,1438.2114,1427.3132,1429.6603,2.8621,0.002,9930349,13072404
NHCI.NH,20200212,1429.6603,1426.5106,1433.6532,1419.9172,1426.0825,3.5778,0.0025,9854740,12875228
NHCI.NH,20200211,1426.0825,1412.3724,1433.7091,1412.2163,1412.4303,13.6522,0.0097,10610444,12608474
NHCI.NH,20200210,1412.4303,1415.2087,1417.7731,1407.4597,1418.4125,-5.9822,-0.0042,7661023,12480169
NHCI.NH,20200207,1418.4125,1418.798,1419.9451,1413.0693,1419.9085,-1.496,-0.0011,6747484,12295365
NHCI.NH,20200206,1419.9085,1409.8044,1421.9342,1409.6711,1408.0337,11.8748,0.0084,8491045,12049571
NHCI.NH,20200205,1408.0337,1407.8396,1416.4791,1403.3363,1408.585,-0.5513,-0.0004,8425616,11681982
NHCI.NH,20200204,1408.585,1390.4614,1411.3464,1376.158,1404.8849,3.7001,0.0026,9802201,11152481
NHCI.NH,20200203,1404.8849,1449.2285,1449.2285,1402.2505,1486.5596,-81.6747,-0.0549,6937030,11071491
NHCI.NH,20200123,1486.5596,1505.6383,1505.6383,1483.5621,1506.8562,-20.2966,-0.0135,9166994,11541488
NHCI.NH,20200122,1506.8562,1509.578,1509.578,1493.0941,1510.3705,-3.5143,-0.0023,10809290,12028741
NHCI.NH,20200121,1510.3705,1522.4584,1522.4584,1509.2892,1522.698,-12.3275,-0.0081,10075500,12459162
NHCI.NH,20200120,1522.698,1522.3346,1526.2239,1520.88,1523.32,-0.622,-0.0004,8549899,12807100
NHCI.NH,20200117,1523.32,1519.5075,1525.044,1519.5075,1519.0769,4.2431,0.0028,9046582,12981497
NHCI.NH,20200116,1519.0769,1518.7968,1524.7572,1517.5968,1518.4603,0.6166,0.0004,10868405,12991009
NHCI.NH,20200115,1518.4603,1523.2776,1523.2776,1517.8273,1522.7621,-4.3018,-0.0028,11021654,13127856
NHCI.NH,20200114,1522.7621,1525.8707,1525.8707,1519.4138,1526.4124,-3.6503,-0.0024,11835031,13327803
NHCI.NH,20200113,1526.4124,1529.8752,1532.7085,1525.8756,1530.1699,-3.7576,-0.0025,12605546,13520672
NHCI.NH,20200110,1530.1699,1527.8054,1532.1931,1524.9879,1526.6077,3.5623,0.0023,11391628,13323404
NHCI.NH,20200109,1526.6077,1548.9464,1548.9464,1525.7932,1552.4138,-25.8062,-0.0166,14294342,13328457
NHCI.NH,20200108,1552.4138,1540.6118,1558.4014,1540.6118,1541.6727,10.7411,0.007,13800833,13361795
NHCI.NH,20200107,1541.6727,1540.494,1541.7509,1534.4924,1542.9182,-1.2455,-0.0008,11390262,13175588
NHCI.NH,20200106,1542.9182,1531.9885,1543.6527,1531.9885,1531.7087,11.2095,0.0073,12525933,13030917
NHCI.NH,20200103,1531.7087,1527.9346,1540.1121,1527.9346,1528.0452,3.6636,0.0024,12072363,13010326
NHCI.NH,20200102,1528.0452,1531.9446,1534.9905,1525.6075,1531.4804,-3.4352,-0.0022,7775821,12808065
NHCI.NH,20191231,1531.4804,1532.9645,1533.3052,1529.6012,1532.0482,-0.5679,-0.0004,25814964,25791444
NHCI.NH,20191230,1532.0482,1527.6887,1535.3137,1527.6887,1530.0129,2.0353,0.0013,23305822,26183250
NHCI.NH,20191227,1530.0129,1525.452,1534.509,1525.452,1525.0359,4.9771,0.0033,24064406,26178120
NHCI.NH,20191226,1525.0359,1519.6429,1525.3379,1515.394,1519.4583,5.5776,0.0037,18850420,25928302
NHCI.NH,20191225,1519.4583,1519.0798,1523.3251,1519.0383,1519.78,-0.3218,-0.0002,17000228,25906094
NHCI.NH,20191224,1519.78,1519.48,1522.15,1513.0,1518.04,1.74,0.0011,21647154,25876634
NHCI.NH,20191223,1518.04,1517.43,1524.28,1515.99,1516.8,1.24,0.0008,23485104,25876130
NHCI.NH,20191220,1516.8,1518.26,1523.58,1515.8,1517.47,-0.67,-0.0004,22952306,26013960
NHCI.NH,20191219,1517.47,1511.92,1518.73,1510.49,1509.76,7.71,0.0051,23368610,26219610
NHCI.NH,20191218,1509.76,1517.78,1518.73,1509.17,1515.78,-6.02,-0.004,20957270,26510342
NHCI.NH,20191217,1515.78,1515.29,1519.87,1511.97,1514.37,1.41,0.0009,21850042,26592048
NHCI.NH,20191216,1514.37,1514.49,1522.79,1508.26,1513.95,0.42,0.0003,30722494,26868966
NHCI.NH,20191213,1513.95,1513.41,1516.31,1510.23,1514.02,-0.07,0.0,30398148,27101796
NHCI.NH,20191212,1514.02,1513.44,1514.93,1510.44,1513.75,0.27,0.0002,26494672,27070962
NHCI.NH,20191211,1513.75,1509.08,1515.75,1509.08,1508.51,5.24,0.0035,25517008,27216966
NHCI.NH,20191210,1509.2347,1507.34,1515.9207,1507.34,1508.6442,0.5906,0.0004,25399650,26960962
NHCI.NH,20191209,1508.6442,1488.4989,1515.8077,1488.4989,1488.0797,20.5645,0.0138,34557420,27208622
NHCI.NH,20191206,1488.0797,1483.3676,1489.6262,1483.3676,1482.8739,5.2058,0.0035,25917024,27157810
NHCI.NH,20191205,1482.8739,1479.3508,1486.2467,1479.3508,1477.4948,5.3792,0.0036,28048936,27119788
NHCI.NH,20191204,1477.4948,1475.7079,1479.2275,1472.1653,1475.7079,1.7869,0.0012,28732998,27446152
NHCI.NH,20191203,1475.7079,1475.7865,1476.6162,1473.9395,1475.7865,-0.0786,-0.0001,13448666,14537256
NHCI.NH,20191202,1475.7865,1473.2481,1476.4428,1465.7341,1473.2481,2.5385,0.0017,27037740,26500644
NHCI.NH,20191129,1473.2481,1473.8157,1474.9851,1469.3801,1473.8157,-0.5676,-0.0004,24234022,23335484
NHCI.NH,20191128,1473.8157,1473.4905,1474.2129,1468.4434,1473.4905,0.3252,0.0002,25800600,27067612
NHCI.NH,20191127,1473.4905,1477.7406,1479.8881,1473.314,1477.7406,-4.2501,-0.0029,25025064,27054930
NHCI.NH,20191126,1477.7406,1491.983,1491.7136,1472.3328,1491.983,-14.2424,-0.0095,30931692,27171022
NHCI.NH,20191125,1491.983,1475.4835,1494.1298,1478.5846,1475.4835,16.4995,0.0112,28878758,27201294
NHCI.NH,20191122,1475.4835,1471.3456,1477.3397,1472.3304,1471.3456,4.1379,0.0028,24459408,27670268
NHCI.NH,20191121,1471.3456,1469.5956,1471.7802,1466.426,1469.5956,1.75,0.0012,27604380,27955834
NHCI.NH,20191120,1469.5956,1465.1117,1472.2366,1463.6115,1465.1117,4.4839,0.0031,28913762,28268182
NHCI.NH,20191119,1465.1117,1458.2931,1465.3152,1453.9113,1458.2931,6.8186,0.0047,28103432,28272476
NHCI.NH,20191118,1458.2931,1455.4695,1461.4275,1453.3857,1455.4695,2.8236,0.0019,24216624,27771356
NHCI.NH,20191115,1455.4695,1458.334,1459.3417,1454.9872,1458.334,-2.8645,-0.002,27771664,27767988
NHCI.NH,20191114,1458.334,1449.9987,1458.8771,1447.5503,1449.9987,8.3353,0.0057,27396174,28249900
NHCI.NH,20191113,1449.9987,1454.7791,1454.8287,1447.9377,1454.7791,-4.7804,-0.0033,22801676,27803630
NHCI.NH,20191112,1454.7791,1443.0256,1455.488,1439.6473,1443.0256,11.7534,0.0081,28127852,27846110
NHCI.NH,20191111,1443.0256,1454.4564,1454.17,1442.5181,1454.4564,-11.4308,-0.0079,29272412,27966412
